,Year,Round,Pick,Player,Name,Team,Position,College
0,2020,1,1,1,Joe Burrow,Bengals,QB,Louisiana State
1, ,1,3,3,Jeff Okudah,Lions,DB,Ohio State
2, ,1,5,5,Tua Tagovailoa,Dolphins,QB,Alabama
3, ,1,7,7,Derrick Brown,Panthers,DT,Auburn
4, ,1,9,9,CJ Henderson,Jaguars,DB,Florida
5, ,1,11,11,Mekhi Becton,Jets, T,Louisville
6, ,1,13,13,Tristan Wirfs,Buccaneers, T,Iowa
7, ,1,15,15,Jerry Jeudy,Broncos,WR,Alabama
8, ,1,17,17,CeeDee Lamb,Cowboys,WR,Oklahoma
9, ,1,19,19,Damon Arnette,Raiders,DB,Ohio State
10, ,1,21,21,Jalen Reagor,Eagles,WR,Texas Christian
11, ,1,23,23,Kenneth Murray,Chargers,LB,Oklahoma
12, ,1,25,25,Brandon Aiyuk,49ers,WR,Arizona State
13, ,1,27,27,Jordyn Brooks,Seahawks,LB,Texas Tech
14, ,1,29,29,Isaiah Wilson,Titans, T,Georgia
15, ,1,31,31,Jeff Gladney,Vikings,DB,Texas Christian
16,2019,1,1,1,Kyler Murray,Cardinals,QB,Oklahoma
17, ,1,3,3,Quinnen Williams,Jets,DT,Alabama
18, ,1,5,5,Devin White,Buccaneers,LB,Louisiana State
19, ,1,7,7,Josh Allen,Jaguars,LB,Kentucky
20, ,1,9,9,Ed Oliver,Bills,DT,Houston
21, ,1,11,11,Jonah Williams,Bengals, T,Alabama
22, ,1,13,13,Christian Wilkins,Dolphins,DT,Clemson
23, ,1,15,15,Dwayne Haskins,Redskins,QB,Ohio State
24, ,1,17,17,Dexter Lawrence,Giants,DT,Clemson
25, ,1,19,19,Jeffery Simmons,Titans,DT,Mississippi State
26, ,1,21,21,Darnell Savage,Packers,DB,Maryland
27, ,1,23,23,Tytus Howard,Texans, T,Alabama State
28, ,1,25,25,Marquise Brown,Ravens,WR,Oklahoma
29, ,1,27,27,Johnathan Abram,Raiders,DB,Mississippi State
30, ,1,29,29,L.J. Collier,Seahawks,DE,Texas Christian
31, ,1,31,31,Kaleb McGary,Falcons, T,Washington
32,2018,1,1,1,Baker Mayfield,Browns,QB,Oklahoma
33, ,1,3,3,Sam Darnold,Jets,QB,USC
34, ,1,5,5,Bradley Chubb,Broncos,DE,North Carolina State
35, ,1,7,7,Josh Allen,Bills,QB,Wyoming
36, ,1,9,9,Mike McGlinchey,49ers, T,Notre Dame
37, ,1,11,11,Minkah Fitzpatrick,Dolphins,DB,Alabama
38, ,1,13,13,Da'Ron Payne,Redskins,DT,Alabama
39, ,1,15,15,Kolton Miller,Raiders, T,UCLA
40, ,1,17,17,Derwin James,Chargers,DB,Florida State
41, ,1,19,19,Leighton Vander Esch,Cowboys,LB,Boise State
42, ,1,21,21,Billy Price,Bengals, C,Ohio State
43, ,1,23,23,Isaiah Wynn,Patriots, G,Georgia
44, ,1,25,25,Hayden Hurst,Ravens,TE,South Carolina
45, ,1,27,27,Rashaad Penny,Seahawks,RB,San Diego State
